Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your gender?,What country do you live in?,What country do you work in?
No,Yes,Yes,Somewhat easy,No,No,Yes,No,1,"Yes, they all did",I was aware of some,None did,"Yes, always",None of them,Some of my previous employers,Some did,None of them,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,Male,United States of America,United States of America
Yes,Yes,No,Neither easy nor difficult,Yes,Maybe,No,No,1,I don't know,N/A (not currently aware),Some did,I don't know,Some of them,Some of my previous employers,Some did,Some of them,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,Female,United States of America,United States of America
Yes,I am not sure,Yes,Somewhat easy,Yes,Yes,No,Yes,1,"No, none did","Yes, I was aware of all of them",None did,I don't know,"Yes, all of them","No, at none of my previous employers",None did,Some of them,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,No,Yes,No,1,Not applicable to me,Often,Male,United Kingdom,United Kingdom
I don't know,No,No,Somewhat easy,No,No,Yes,No,1,Some did,I was aware of some,None did,I don't know,None of them,"Yes, at all of my previous employers",Some did,None of them,Yes,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
Yes,Yes,Yes,Very easy,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Sometimes,Some of them,Some of my previous employers,Some did,Some of them,No,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,Female,United States of America,United States of America
I don't know,No,No,Very difficult,Yes,Yes,No,No,1,I don't know,N/A (not currently aware),Some did,I don't know,"Yes, all of them","No, at none of my previous employers",None did,None of them,Maybe,Maybe,"Yes, they do",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,Female,United States of America,United States of America
Yes,I am not sure,Yes,Very easy,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,No,Some of them,Some of my previous employers,None did,Some of them,Yes,"No, I don't think it would",Maybe,Very open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Sometimes,Often,Male,United States of America,United States of America
Yes,Yes,I don't know,Somewhat difficult,Yes,No,No,No,1,"No, none did",N/A (not currently aware),None did,I don't know,"Yes, all of them","No, at none of my previous employers",None did,None of them,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Yes,Yes,Yes,Yes,1,Never,Rarely,Male,United States of America,United States of America
Yes,I am not sure,No,Very easy,No,No,Yes,No,1,Some did,"Yes, I was aware of all of them",Some did,"Yes, always",None of them,Some of my previous employers,"Yes, they all did",None of them,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,Female,United States of America,United States of America
Yes,Yes,Yes,Somewhat easy,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,I don't know,"Yes, all of them",Some of my previous employers,None did,Some of them,No,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,Male,Canada,Canada
Yes,Yes,I don't know,Very easy,No,No,No,No,1,I don't know,"No, I only became aware later",None did,I don't know,I don't know,I don't know,I don't know,None of them,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,Male,United States of America,United States of America
I don't know,No,I don't know,Neither easy nor difficult,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Sometimes,Some of them,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Neutral,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,Male,United States of America,United States of America
Not eligible for coverage / N/A,No,No,Very difficult,Maybe,No,No,No,1,"No, none did","No, I only became aware later",None did,No,"Yes, all of them","No, at none of my previous employers",None did,Some of them,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,Other,Canada,Canada
No,No,No,I don't know,Maybe,No,No,No,1,"No, none did","Yes, I was aware of all of them",None did,I don't know,Some of them,Some of my previous employers,Some did,None of them,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United Kingdom,United Kingdom
I don't know,No,No,I don't know,Yes,No,Yes,No,1,I don't know,N/A (not currently aware),None did,I don't know,"Yes, all of them","No, at none of my previous employers",None did,None of them,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,Male,United States of America,United States of America
Yes,No,I don't know,Somewhat easy,No,No,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,"Yes, always",None of them,Some of my previous employers,I don't know,None of them,No,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
Yes,Yes,No,Very easy,Maybe,Maybe,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,I don't know,I don't know,Some of my previous employers,I don't know,None of them,Maybe,Maybe,"No, I don't think they would",Neutral,No,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,Male,Germany,Germany
Yes,Yes,No,Somewhat difficult,Maybe,No,I don't know,No,1,Some did,I was aware of some,Some did,I don't know,Some of them,Some of my previous employers,Some did,Some of them,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,No,Yes,1,Sometimes,Often,Male,Canada,Canada
No,No,No,Very difficult,Yes,Yes,No,No,1,"No, none did",I was aware of some,Some did,I don't know,Some of them,I don't know,Some did,None of them,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Rarely,Often,Male,Netherlands,Netherlands
I don't know,No,No,Somewhat difficult,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,I don't know,I don't know,"No, at none of my previous employers",None did,Some of them,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,Maybe,No,1,Sometimes,Often,Male,Germany,Germany
I don't know,No,Yes,Neither easy nor difficult,Maybe,No,I don't know,Yes,1,I don't know,"No, I only became aware later",None did,I don't know,Some of them,"No, at none of my previous employers",None did,"Yes, all of them",No,"Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,No,1,Sometimes,Often,Female,United Kingdom,United Kingdom
Yes,Yes,Yes,Very easy,No,No,Yes,No,1,Some did,"Yes, I was aware of all of them",None did,"Yes, always",None of them,I don't know,"Yes, they all did",None of them,No,"No, I don't think it would","No, they do not",Very open,No,No,Yes,Yes,Yes,1,Often,Sometimes,Male,United States of America,United States of America
Yes,I am not sure,I don't know,Very easy,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,I don't know,Some of them,"No, at none of my previous employers",None did,None of them,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,Yes,No,0,Not applicable to me,Sometimes,Male,United Kingdom,United Kingdom
